episode,timestamp,success_rate,episode_reward,intercept_success,intercept_fail,enemy_missiles,defense_missiles,territory_hits,avg_prediction_error,policy_loss,value_loss,epsilon,learning_rate
114,1769419110.5635853,0.0000,-77.32,0,1,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
115,1769419162.8998654,0.0000,-233.40,0,4,10,1,0,0.00,0.000000,0.000000,0.5000,0.000990
116,1769419211.1135793,0.0000,-305.48,0,5,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
117,1769419261.162497,0.0000,-157.19,0,4,10,1,0,0.00,0.000000,0.000000,0.5000,0.000990
118,1769419312.4136448,0.0000,-156.67,0,4,10,1,0,0.00,0.000000,0.000000,0.5000,0.000990
119,1769419360.1894555,0.0000,-390.66,0,5,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
120,1769419408.044063,0.0000,-156.12,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
121,1769419460.3520973,0.0000,-232.34,0,4,10,1,0,0.00,0.000000,0.000000,0.5000,0.000990
122,1769419508.0963876,0.0000,-387.99,0,5,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
123,1769419555.8653505,0.0000,-231.57,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
124,1769419603.5192223,0.0000,-231.08,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
125,1769419651.1963701,0.0000,-154.44,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
126,1769419698.6864274,0.0000,-310.86,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
127,1769419746.3436983,0.0000,-307.35,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
128,1769419794.0138328,0.0000,-230.88,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
129,1769419841.869535,0.0000,-154.76,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
130,1769419889.7007458,0.0000,-309.30,0,5,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
131,1769419937.7176023,0.0000,-307.50,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
132,1769419985.4314888,0.0000,-306.50,0,5,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
133,1769420033.1306953,0.0000,-232.47,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
134,1769420080.8699026,0.0000,-150.85,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
135,1769420128.8459795,0.0000,-155.89,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
136,1769420176.4544482,0.0000,-386.00,0,5,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
137,1769420224.1486013,0.0000,-153.00,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
138,1769420271.9408052,0.0000,-308.90,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
139,1769420319.5136373,0.0000,-156.45,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
140,1769420366.8224046,0.0000,-75.52,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
141,1769420414.0539727,0.0000,-310.17,0,5,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
142,1769420461.467483,0.0000,-231.19,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
143,1769420508.6713514,0.0000,-306.15,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
144,1769420555.9495404,0.0000,-231.30,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
145,1769420603.2879882,0.0000,-155.82,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
146,1769420650.7184424,0.0000,-232.81,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
147,1769420698.1905553,0.0000,-157.54,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
148,1769420745.4269538,0.0000,-155.47,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
149,1769420795.4258811,0.0000,-154.05,0,4,10,1,0,0.00,0.000000,0.000000,0.5000,0.000990
150,1769420842.6075726,0.0000,-232.25,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
151,1769420889.7702994,0.0000,0.00,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
152,1769420937.1165206,0.0000,-232.45,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
153,1769420984.3885386,0.0000,-232.86,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
154,1769421031.830113,0.0000,-154.28,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
155,1769421079.1390646,0.0000,-230.92,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
156,1769421126.523415,0.0000,-75.77,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
157,1769421173.816851,0.0000,-154.90,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
158,1769421220.7735837,0.0000,-232.42,0,6,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
159,1769421274.6534665,0.0000,-154.45,0,4,10,1,0,0.00,0.000000,0.000000,0.5000,0.000990
160,1769421322.0243738,0.0000,-155.59,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
161,1769421369.426117,0.0000,-76.54,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
162,1769421416.7383053,0.0000,-387.92,0,5,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
163,1769421468.2563071,0.0000,0.00,0,1,10,1,0,0.00,-0.008528,0.000643,0.5000,0.000990
164,1769421515.608501,0.0000,-76.45,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
165,1769421563.2577064,0.0000,-76.27,0,1,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
166,1769421610.6090524,0.0000,-233.98,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
167,1769421657.8701196,0.0000,-154.29,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
168,1769421705.4234998,0.0000,-310.75,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
169,1769421752.9240372,0.0000,-76.56,0,1,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
170,1769421800.4360151,0.0000,-312.05,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
171,1769421847.805422,0.0000,-307.03,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
172,1769421895.041974,0.0000,-230.54,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
173,1769421942.2013655,0.0000,-154.30,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
174,1769421989.34616,0.0000,-231.97,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
175,1769422036.6083236,0.0000,-77.13,0,2,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
176,1769422084.0127566,0.0000,-304.64,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
177,1769422131.4349704,0.0000,-310.38,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
178,1769422178.7115898,0.0000,-230.72,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
179,1769422225.9564571,0.0000,-231.55,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
180,1769422273.1654887,0.0000,-234.19,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
181,1769422320.2740078,0.0000,-154.82,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
182,1769422367.4526994,0.0000,-152.44,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
183,1769422414.7268434,0.0000,-232.55,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
184,1769422462.0823047,0.0000,-304.86,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
185,1769422509.4236352,0.0000,-234.81,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
186,1769422561.207573,0.0000,-233.15,0,5,10,1,0,0.00,0.000000,0.000000,0.5000,0.000990
187,1769422609.1960168,0.0000,-76.53,0,1,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
188,1769422656.5382845,0.0000,-228.87,0,3,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
189,1769422703.9350529,0.0000,-387.76,0,5,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
190,1769422751.3526185,0.0000,-229.60,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
191,1769422798.72622,0.0000,-235.56,0,5,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
192,1769422845.9074726,0.0000,-154.30,0,4,10,0,0,0.00,0.000000,0.000000,0.5000,0.000990
193,1769422896.4616938,0.0000,-74.59,0,3,10,1,0,0.00,0.000000,0.000000,0.5000,0.000990
